;lemma;freq;freq [%];VNP?;kdo;příklad;poznámka
446;bernardýn;12;0.0;0;KV;;
447;dvacítka;12;0.0;0;KV;;
448;řešení;12;0.0;0;KV;;
449;přítel;12;0.0;0;KV;;
450;děcko;12;0.0;0;KV;;
451;změna;12;0.0;0;KV;;
452;zákazník;12;0.0;0;KV;;
453;obraz;12;0.0;1;KV;Věděla, že pokud ve své duši chová tento obraz, pak věděla, že je lživý.;mít představu
454;postup;12;0.0;0;KV;;
455;Ježíšek;12;0.0;0;KV;;
456;pokuta;12;0.0;0;KV;;
457;žír;12;0.0;0;KV;;
458;štír;12;0.0;0;KV;;
459;koník;12;0.0;0;KV;;
460;dostatek;12;0.0;0;KV;;
461;pokora;12;0.0;0;KV;;
462;snaha;12;0.0;0;KV;;
463;pokus;12;0.0;0;KV;;
464;dílo;12;0.0;0;KV;;
465;brouk;12;0.0;0;KV;;
466;lín;12;0.0;0;KV;;
467;rostlina;12;0.0;0;KV;;
468;péče;12;0.0;0;KV;;
469;řidič;12;0.0;0;KV;;
470;sova;12;0.0;0;KV;;
471;nevraživost;12;0.0;1;KV;Vůči Davidovi nechovám pražádnou nevraživost. Mám ho rád.;
472;smysl;12;0.0;0;KV;;
473;šance;11;0.0;0;KV;;
474;domov;11;0.0;0;KV;;
475;stav;11;0.0;0;KV;;
476;cvrček;11;0.0;0;KV;;
477;přímorožec;11;0.0;0;KV;;
478;armáda;11;0.0;0;KV;;
479;kšeft;11;0.0;0;KV;;
480;bezpečnost;11;0.0;0;KV;;
481;kreveta;11;0.0;0;KV;;
482;jízda;11;0.0;0;KV;;
483;knírač;11;0.0;0;KV;;
484;chlapeček;11;0.0;0;KV;;
485;pořádek;11;0.0;0;KV;;
486;podmínka;11;0.0;0;KV;;
487;koníček;11;0.0;0;KV;;
488;hlemýžď;11;0.0;0;KV;;
489;gorila;11;0.0;0;KV;;
490;jistota;11;0.0;0;KV;;
491;obživa;11;0.0;0;KV;;
492;krmení;11;0.0;0;KV;;
493;plod;11;0.0;0;KV;;
494;výhoda;11;0.0;0;KV;;
495;losos;11;0.0;0;KV;;
496;desetiletí;11;0.0;0;KV;;
497;dinosaurus;11;0.0;0;KV;;
498;odpad;11;0.0;0;KV;;
499;boxer;11;0.0;0;KV;;
500;vnučka;11;0.0;0;KV;;
501;oběť;11;0.0;0;KV;;
502;hrabáč;10;0.0;0;KV;;
503;šváb;10;0.0;0;KV;;
504;housenka;10;0.0;0;KV;;
505;kamarád;10;0.0;0;KV;;
506;úkol;10;0.0;0;KV;;
507;pískomil;10;0.0;0;KV;;
508;amur;10;0.0;0;KV;;
509;sezóna;10;0.0;0;KV;;
510;sentiment;10;0.0;2;KV;K době, v níž se Postřižiny odehrávají, Češi chovají značný sentiment.;
511;populace;10;0.0;0;KV;;
512;bulteriér;10;0.0;0;KV;;
513;smlouva;10;0.0;0;KV;;
514;medvídek;10;0.0;0;KV;;
515;kotě;10;0.0;0;KV;;
516;labuť;10;0.0;0;KV;;
517;pavián;10;0.0;0;KV;;
518;kniha;10;0.0;0;KV;;
519;brambora;10;0.0;0;KV;;
520;přístup;10;0.0;0;KV;;
521;červ;10;0.0;0;KV;;
522;sklon;10;0.0;0;KV;;
523;plán;10;0.0;1;KV;Zpočátku podléhá jeho kouzlu, záhy si však uvědomí, že pohledný David chová v mysli děsivý plán.;
524;buldok;10;0.0;0;KV;;
525;společnost;10;0.0;0;KV;;
526;kvalita;10;0.0;0;KV;;
527;labrador;10;0.0;0;KV;;
528;vzhled;10;0.0;0;KV;;
529;kajman;10;0.0;0;KV;;
530;příbuzný;10;0.0;0;KV;;
531;policie;10;0.0;0;KV;;
532;býček;10;0.0;0;KV;;
533;pokyn;10;0.0;0;KV;;
534;pátek;10;0.0;0;KV;;
535;kakadu;10;0.0;0;KV;;
536;zákaz;10;0.0;0;KV;;
537;šampion;10;0.0;0;KV;;
538;larva;10;0.0;0;KV;;
539;kosman;10;0.0;0;KV;;
540;malamut;10;0.0;0;KV;;
541;půda;10;0.0;0;KV;;
