"id";"lemma";"Freq";"MI";"T-score";"logDice"
"8813";"čekání";"11";"0,519";"1,002";"-0,553"
"8814";"moskevský";"10";"1,239";"1,822";"-0,553"
"8815";"zajištění";"13";"-0,165";"-0,437";"-0,554"
"8816";"odborářský";"9";"3,485";"2,732";"-0,554"
"8817";"horal";"9";"3,483";"2,732";"-0,554"
"8818";"provizorní";"10";"1,231";"1,815";"-0,554"
"8819";"skladatel";"12";"0,105";"0,242";"-0,555"
"8820";"unavený";"11";"0,512";"0,991";"-0,555"
"8821";"naklánět";"9";"3,452";"2,726";"-0,555"
"8822";"tvrdohlavý";"9";"3,451";"2,726";"-0,555"
"8823";"Růženka";"9";"3,45";"2,725";"-0,555"
"8824";"trvat";"33";"-1,341";"-8,806";"-0,555"
"8825";"nestor";"9";"3,443";"2,724";"-0,555"
"8826";"erotický";"10";"1,225";"1,81";"-0,555"
"8827";"krvinka";"9";"3,434";"2,723";"-0,555"
"8828";"invazivní";"9";"3,431";"2,722";"-0,555"
"8829";"slávista";"10";"1,223";"1,807";"-0,555"
"8830";"Homo";"9";"3,428";"2,721";"-0,555"
"8831";"kynolog";"9";"3,411";"2,718";"-0,556"
"8832";"Libor";"14";"-0,371";"-1,099";"-0,556"
"8833";"západně";"9";"3,397";"2,715";"-0,556"
"8834";"technoparty";"9";"3,378";"2,711";"-0,557"
"8835";"Peugeot";"10";"1,21";"1,796";"-0,557"
"8836";"imaginární";"9";"3,37";"2,71";"-0,557"
"8837";"poučený";"9";"3,366";"2,709";"-0,557"
"8838";"činžák";"9";"3,346";"2,705";"-0,558"
"8839";"Ferda";"9";"3,343";"2,704";"-0,558"
"8840";"Hukvaldy";"9";"3,333";"2,702";"-0,558"
"8841";"žel";"9";"3,317";"2,699";"-0,559"
"8842";"vězněný";"9";"3,309";"2,697";"-0,559"
"8843";"570";"9";"3,308";"2,697";"-0,559"
"8844";"Pchjongjang";"9";"3,304";"2,696";"-0,559"
"8845";"plyšák";"9";"3,292";"2,694";"-0,559"
"8846";"maličko";"9";"3,289";"2,693";"-0,559"
"8847";"primátorka";"10";"1,19";"1,776";"-0,559"
"8848";"zjišťovat";"12";"0,087";"0,202";"-0,559"
"8849";"Dean";"9";"3,284";"2,692";"-0,559"
"8850";"leckde";"9";"3,276";"2,69";"-0,56"
"8851";"místostarosta";"16";"-0,653";"-2,289";"-0,56"
"8852";"začátkem";"13";"-0,185";"-0,493";"-0,56"
"8853";"človíček";"9";"3,263";"2,688";"-0,56"
"8854";"veš";"9";"3,253";"2,685";"-0,56"
"8855";"Popelka";"10";"1,182";"1,769";"-0,56"
"8856";"kovaný";"9";"3,247";"2,684";"-0,561"
"8857";"zvát";"15";"-0,535";"-1,737";"-0,561"
"8858";"rváč";"9";"3,234";"2,681";"-0,561"
"8859";"uposlechnout";"9";"3,232";"2,681";"-0,561"
"8860";"Vojtíšek";"9";"3,226";"2,679";"-0,561"
"8861";"pánský";"10";"1,176";"1,763";"-0,561"
"8862";"strejda";"9";"3,216";"2,677";"-0,562"
"8863";"pokladna";"13";"-0,19";"-0,507";"-0,562"
"8864";"Amy";"9";"3,209";"2,675";"-0,562"
"8865";"vypuštění";"9";"3,198";"2,673";"-0,562"
"8866";"pečovatelka";"9";"3,196";"2,673";"-0,562"
"8867";"loupit";"9";"3,18";"2,669";"-0,563"
"8868";"Tachovsko";"10";"1,162";"1,749";"-0,563"
"8869";"výměna";"17";"-0,758";"-2,85";"-0,563"
"8870";"580";"9";"3,159";"2,664";"-0,563"
"8871";"postěžovat";"10";"1,159";"1,747";"-0,563"
"8872";"obloha";"11";"0,467";"0,918";"-0,564"
"8873";"Aneta";"10";"1,155";"1,743";"-0,564"
"8874";"činžovní";"9";"3,136";"2,659";"-0,564"
"8875";"akt";"11";"0,462";"0,909";"-0,565"
"8876";"Nagyová";"9";"3,102";"2,651";"-0,565"
"8877";"třicátník";"9";"3,098";"2,65";"-0,565"
"8878";"významně";"11";"0,46";"0,905";"-0,565"
"8879";"kontejner";"12";"0,061";"0,143";"-0,567"
"8880";"straník";"9";"3,06";"2,64";"-0,567"
"8881";"chobotnice";"9";"3,042";"2,636";"-0,567"
"8882";"vyprávění";"11";"0,448";"0,885";"-0,568"
"8883";"obhospodařovat";"9";"3,023";"2,631";"-0,568"
"8884";"bažina";"9";"3,02";"2,63";"-0,568"
"8885";"temperament";"9";"2,984";"2,621";"-0,569"
"8886";"maškara";"9";"2,972";"2,618";"-0,57"
"8887";"sedmačtyřicetiletý";"9";"2,962";"2,615";"-0,57"
"8888";"rychlostní";"11";"0,437";"0,866";"-0,57"
"8889";"zapojit";"17";"-0,773";"-2,922";"-0,57"
"8890";"toulavý";"9";"2,946";"2,611";"-0,571"
"8891";"pověření";"9";"2,945";"2,61";"-0,571"
"8892";"žalovaný";"9";"2,94";"2,609";"-0,571"
"8893";"hnusný";"9";"2,94";"2,609";"-0,571"
"8894";"zrakově";"9";"2,933";"2,607";"-0,571"
"8895";"Angelina";"9";"2,923";"2,604";"-0,572"
"8896";"atlet";"11";"0,43";"0,855";"-0,572"
"8897";"Medveděv";"9";"2,92";"2,604";"-0,572"
"8898";"past";"10";"1,096";"1,683";"-0,572"
"8899";"Margaret";"9";"2,91";"2,601";"-0,572"
"8900";"spotřebitelský";"10";"1,092";"1,679";"-0,572"
"8901";"doplněk";"12";"0,039";"0,093";"-0,573"
"8902";"skromnost";"9";"2,898";"2,598";"-0,573"
"8903";"vymknout";"9";"2,896";"2,597";"-0,573"
"8904";"směsice";"9";"2,896";"2,597";"-0,573"
"8905";"předvést";"19";"-0,929";"-3,937";"-0,574"
"8906";"katedra";"10";"1,082";"1,668";"-0,574"
"8907";"dispozice";"22";"-1,084";"-5,255";"-0,574"
"8908";"štamgast";"9";"2,858";"2,586";"-0,574"
"8909";"560";"9";"2,854";"2,585";"-0,574"
"8910";"úředně";"9";"2,844";"2,582";"-0,575"
"8911";"prohrávat";"12";"0,031";"0,073";"-0,575"
"8912";"Berdych";"10";"1,07";"1,656";"-0,575"
"8913";"infrastruktura";"12";"0,028";"0,067";"-0,576"
"8914";"renomovaný";"10";"1,067";"1,653";"-0,576"
"8915";"upřímnost";"9";"2,819";"2,575";"-0,576"
"8916";"komplikovaný";"11";"0,408";"0,817";"-0,576"
"8917";"vítězka";"11";"0,406";"0,814";"-0,577"
"8918";"kůra";"10";"1,053";"1,638";"-0,578"
"8919";"obrovsky";"9";"2,768";"2,56";"-0,578"
"8920";"Švejnar";"9";"2,759";"2,557";"-0,578"
"8921";"zastávat";"11";"0,399";"0,802";"-0,578"
"8922";"Serena";"9";"2,75";"2,554";"-0,579"
"8923";"čerpání";"10";"1,045";"1,629";"-0,579"
"8924";"škodlivý";"10";"1,044";"1,629";"-0,579"
"8925";"záchod";"10";"1,043";"1,628";"-0,579"
"8926";"CZ";"11";"0,396";"0,796";"-0,579"
"8927";"spolupracovnice";"9";"2,739";"2,551";"-0,579"
"8928";"předně";"9";"2,738";"2,55";"-0,579"
"8929";"buněčný";"9";"2,731";"2,548";"-0,579"
"8930";"těžař";"9";"2,726";"2,547";"-0,58"
"8931";"potenciálně";"9";"2,72";"2,545";"-0,58"
"8932";"nesporně";"9";"2,719";"2,544";"-0,58"
"8933";"zanedbávat";"9";"2,716";"2,543";"-0,58"
"8934";"předloha";"10";"1,035";"1,619";"-0,58"
"8935";"následník";"9";"2,71";"2,541";"-0,58"
"8936";"hornický";"10";"1,03";"1,614";"-0,581"
"8937";"raketa";"11";"0,388";"0,782";"-0,581"
"8938";"sedmý";"16";"-0,699";"-2,492";"-0,581"
"8939";"Jáchym";"9";"2,687";"2,534";"-0,581"
"8940";"rozhodný";"10";"1,026";"1,61";"-0,581"
"8941";"zdráhat";"9";"2,683";"2,533";"-0,581"
"8942";"padnout";"20";"-1,002";"-4,485";"-0,582"
"8943";"úhel";"11";"0,383";"0,773";"-0,582"
"8944";"Gábina";"9";"2,664";"2,527";"-0,582"
"8945";"hraběnka";"9";"2,662";"2,526";"-0,582"
"8946";"poručík";"9";"2,656";"2,524";"-0,583"
"8947";"penis";"9";"2,654";"2,523";"-0,583"
"8948";"odhodlaný";"9";"2,652";"2,523";"-0,583"
"8949";"sdělovat";"10";"1,015";"1,598";"-0,583"
"8950";"Williamsová";"9";"2,639";"2,518";"-0,583"
"8951";"zanechávat";"9";"2,632";"2,516";"-0,584"
"8952";"donekonečna";"9";"2,628";"2,515";"-0,584"
"8953";"bitva";"15";"-0,589";"-1,954";"-0,584"
"8954";"obézní";"9";"2,617";"2,511";"-0,584"
"8955";"mašina";"9";"2,605";"2,507";"-0,585"
"8956";"Radim";"12";"-0,008";"-0,019";"-0,586"
"8957";"univerzitní";"10";"0,992";"1,572";"-0,586"
"8958";"Tommy";"9";"2,579";"2,498";"-0,586"
"8959";"dvojnásob";"9";"2,57";"2,495";"-0,587"
"8960";"vyhraněný";"9";"2,556";"2,49";"-0,587"
"8961";"řidičský";"11";"0,357";"0,727";"-0,587"
"8962";"odhalení";"10";"0,98";"1,56";"-0,588"
"8963";"drzost";"9";"2,545";"2,486";"-0,588"
"8964";"ČSTV";"9";"2,541";"2,485";"-0,588"
"8965";"biolog";"9";"2,535";"2,482";"-0,588"
"8966";"popravdě";"9";"2,531";"2,481";"-0,589"
"8967";"53";"11";"0,35";"0,714";"-0,589"
"8968";"marihuana";"10";"0,968";"1,546";"-0,59"
"8969";"oprávnit";"9";"2,507";"2,472";"-0,59"
"8970";"optimisticky";"9";"2,506";"2,472";"-0,59"
"8971";"plnění";"11";"0,344";"0,704";"-0,59"
"8972";"Chrudim";"14";"-0,461";"-1,408";"-0,59"
"8973";"Sarah";"9";"2,489";"2,466";"-0,591"
"8974";"českobudějovický";"12";"-0,026";"-0,064";"-0,591"
"8975";"senátní";"10";"0,957";"1,533";"-0,591"
"8976";"vzdor";"9";"2,476";"2,461";"-0,591"
"8977";"stratég";"9";"2,463";"2,456";"-0,592"
"8978";"poklička";"9";"2,454";"2,452";"-0,592"
"8979";"lůžko";"12";"-0,031";"-0,075";"-0,592"
"8980";"4,5";"10";"0,947";"1,523";"-0,593"
"8981";"peklo";"11";"0,334";"0,686";"-0,593"
"8982";"vodík";"9";"2,436";"2,446";"-0,593"
"8983";"žertovat";"9";"2,435";"2,445";"-0,593"
"8984";"překonatelný";"9";"2,433";"2,444";"-0,594"
"8985";"Ankara";"9";"2,426";"2,442";"-0,594"
"8986";"půjčovat";"10";"0,936";"1,51";"-0,594"
"8987";"Marcus";"9";"2,419";"2,439";"-0,594"
"8988";"opouštět";"11";"0,327";"0,672";"-0,594"
"8989";"meziříčí";"13";"-0,287";"-0,795";"-0,594"
"8990";"pervitin";"10";"0,933";"1,506";"-0,595"
"8991";"Stropnický";"9";"2,398";"2,431";"-0,595"
"8992";"poberta";"9";"2,398";"2,431";"-0,595"
"8993";"mechanika";"9";"2,39";"2,428";"-0,596"
"8994";"popřít";"10";"0,924";"1,495";"-0,596"
"8995";"partička";"9";"2,378";"2,423";"-0,596"
"8996";"neznalost";"9";"2,367";"2,419";"-0,597"
"8997";"pronájem";"12";"-0,047";"-0,115";"-0,597"
"8998";"Victoria";"9";"2,362";"2,417";"-0,597"
"8999";"topení";"10";"0,914";"1,485";"-0,597"
"9000";"rozdělovat";"10";"0,914";"1,485";"-0,597"
"9001";"přepravovat";"9";"2,359";"2,415";"-0,597"
"9002";"jenom";"9";"2,358";"2,415";"-0,598"
"9003";"Srbsko";"10";"0,913";"1,483";"-0,598"
"9004";"]";"10";"0,912";"1,481";"-0,598"
"9005";"terorismus";"10";"0,91";"1,48";"-0,598"
"9006";"370";"9";"2,348";"2,411";"-0,598"
"9007";"95";"11";"0,309";"0,639";"-0,598"
"9008";"ženich";"9";"2,343";"2,409";"-0,598"
"9009";"plyšový";"9";"2,34";"2,408";"-0,598"
"9010";"HZDS";"9";"2,34";"2,408";"-0,599"
"9011";"rodák";"13";"-0,3";"-0,833";"-0,599"
"9012";"Castro";"9";"2,333";"2,404";"-0,599"
"9013";"komplexní";"11";"0,306";"0,634";"-0,599"
"9014";"trůn";"10";"0,9";"1,467";"-0,6"
"9015";"katedrála";"10";"0,9";"1,467";"-0,6"
"9016";"čistit";"10";"0,899";"1,466";"-0,6"
"9017";"měsíční";"12";"-0,056";"-0,138";"-0,6"
"9018";"třiatřicet";"9";"2,313";"2,396";"-0,6"
"9019";"zdržet";"10";"0,895";"1,462";"-0,6"
"9020";"adresát";"9";"2,299";"2,391";"-0,601"
"9021";"sakra";"9";"2,299";"2,39";"-0,601"
"9022";"zažitý";"9";"2,291";"2,387";"-0,601"
"9023";"aerolinka";"9";"2,286";"2,385";"-0,602"
"9024";"puk";"12";"-0,064";"-0,156";"-0,602"
"9025";"leckdo";"9";"2,277";"2,381";"-0,602"
"9026";"ústa";"12";"-0,064";"-0,158";"-0,602"
"9027";"skřítek";"9";"2,266";"2,376";"-0,603"
"9028";"kupé";"9";"2,259";"2,373";"-0,603"
"9029";"výtvarník";"12";"-0,071";"-0,175";"-0,604"
"9030";"Tošovský";"9";"2,242";"2,366";"-0,604"
"9031";"léčení";"10";"0,867";"1,429";"-0,605"
"9032";"Náchod";"12";"-0,073";"-0,179";"-0,605"
"9033";"závazný";"10";"0,867";"1,428";"-0,605"
"9034";"á";"9";"2,233";"2,362";"-0,605"
"9035";"vůdčí";"9";"2,219";"2,355";"-0,606"
"9036";"Protivín";"9";"2,217";"2,355";"-0,606"
"9037";"vír";"9";"2,21";"2,352";"-0,606"
"9038";"zadávání";"9";"2,196";"2,345";"-0,607"
"9039";"kronikář";"9";"2,194";"2,344";"-0,607"
"9040";"2017";"12";"-0,083";"-0,205";"-0,608"
"9041";"hloubka";"11";"0,267";"0,56";"-0,608"
"9042";"vyloučený";"10";"0,846";"1,403";"-0,608"
"9043";"tiskárna";"10";"0,845";"1,402";"-0,608"
"9044";"vytáhnout";"14";"-0,506";"-1,572";"-0,608"
"9045";"zajít";"12";"-0,086";"-0,214";"-0,609"
"9046";"bulvární";"9";"2,166";"2,331";"-0,609"
"9047";"připojený";"9";"2,165";"2,331";"-0,609"
"9048";"odkládat";"10";"0,84";"1,396";"-0,609"
"9049";"akademik";"9";"2,161";"2,329";"-0,609"
"9050";"obsazený";"10";"0,835";"1,39";"-0,61"
"9051";"Slovácko";"13";"-0,331";"-0,93";"-0,61"
"9052";"Weber";"9";"2,149";"2,324";"-0,61"
"9053";"Dienstbier";"9";"2,147";"2,323";"-0,61"
"9054";"povel";"9";"2,139";"2,319";"-0,61"
"9055";"zapamatovat";"9";"2,137";"2,318";"-0,611"
"9056";"tribunál";"9";"2,132";"2,316";"-0,611"
"9057";"Atény";"10";"0,826";"1,379";"-0,611"
"9058";"Allen";"9";"2,119";"2,309";"-0,612"
"9059";"psychiatrie";"9";"2,118";"2,309";"-0,612"
"9060";"klasicky";"9";"2,115";"2,308";"-0,612"
"9061";"Nováková";"10";"0,819";"1,37";"-0,612"
"9062";"podobat";"10";"0,815";"1,364";"-0,613"
"9063";"vosk";"9";"2,087";"2,294";"-0,614"
"9064";"Kevin";"9";"2,084";"2,292";"-0,614"
"9065";"poznatek";"11";"0,239";"0,505";"-0,615"
"9066";"sedmatřicetiletý";"9";"2,073";"2,287";"-0,615"
"9067";"Telč";"10";"0,799";"1,345";"-0,615"
"9068";"Magda";"9";"2,063";"2,282";"-0,615"
"9069";"náhradník";"10";"0,797";"1,342";"-0,616"
"9070";"psychologický";"10";"0,794";"1,338";"-0,616"
"9071";"Svitavy";"11";"0,23";"0,489";"-0,617"
"9072";"kravata";"9";"2,043";"2,272";"-0,617"
"9073";"Beckham";"9";"2,042";"2,272";"-0,617"
"9074";"dočasně";"10";"0,788";"1,33";"-0,617"
"9075";"Sylva";"9";"2,037";"2,269";"-0,617"
"9076";"rasový";"9";"2,027";"2,264";"-0,618"
"9077";"koledník";"9";"2,023";"2,262";"-0,618"
"9078";"újezd";"9";"2,022";"2,261";"-0,618"
"9079";"limonáda";"9";"2,021";"2,261";"-0,618"
"9080";"hořkost";"9";"2,02";"2,26";"-0,618"
"9081";"psovod";"9";"2,017";"2,259";"-0,618"
"9082";"původce";"9";"2,012";"2,256";"-0,619"
"9083";"sekretářka";"9";"2,001";"2,251";"-0,62"
"9084";"Sylvie";"9";"1,999";"2,249";"-0,62"
"9085";"prapor";"10";"0,77";"1,307";"-0,62"
"9086";"potrestat";"12";"-0,126";"-0,315";"-0,62"
"9087";"spadnout";"15";"-0,673";"-2,303";"-0,62"
"9088";"sebevražedný";"9";"1,983";"2,241";"-0,621"
"9089";"hrůzný";"9";"1,975";"2,237";"-0,621"
"9090";"horizont";"10";"0,761";"1,296";"-0,621"
"9091";"rekreace";"9";"1,973";"2,236";"-0,622"
"9092";"otevřenost";"9";"1,97";"2,234";"-0,622"
"9093";"1957";"9";"1,963";"2,231";"-0,622"
"9094";"Naďa";"9";"1,948";"2,222";"-0,623"
"9095";"Angeles";"10";"0,748";"1,279";"-0,624"
"9096";"Benedikt";"9";"1,929";"2,212";"-0,625"
"9097";"světově";"9";"1,925";"2,21";"-0,625"
"9098";"hodnocení";"15";"-0,687";"-2,361";"-0,626"
"9099";"pochlubit";"11";"0,189";"0,407";"-0,626"
"9100";"zdarma";"17";"-0,885";"-3,493";"-0,627"
"9101";"thajský";"9";"1,902";"2,197";"-0,627"
"9102";"financování";"13";"-0,38";"-1,088";"-0,627"
"9103";"Luděk";"11";"0,184";"0,397";"-0,628"
"9104";"šperk";"11";"0,184";"0,397";"-0,628"
"9105";"Barcelona";"11";"0,183";"0,396";"-0,628"
"9106";"Carlos";"9";"1,884";"2,187";"-0,628"
"9107";"skautský";"9";"1,879";"2,184";"-0,628"
"9108";"přitahovat";"10";"0,719";"1,241";"-0,628"
"9109";"dorostenec";"12";"-0,153";"-0,388";"-0,629"
"9110";"křivda";"9";"1,87";"2,179";"-0,629"
"9111";"registr";"10";"0,712";"1,231";"-0,63"
"9112";"nostalgie";"9";"1,862";"2,175";"-0,63"
"9113";"koncový";"9";"1,861";"2,174";"-0,63"
"9114";"mnichovský";"9";"1,852";"2,169";"-0,63"
"9115";"hustota";"9";"1,851";"2,169";"-0,63"
"9116";"Tvrdík";"9";"1,847";"2,166";"-0,631"
"9117";"Joseph";"9";"1,844";"2,165";"-0,631"
"9118";"nedělní";"15";"-0,697";"-2,407";"-0,631"
"9119";"žádost";"20";"-1,088";"-5,032";"-0,631"
"9120";"suverenita";"9";"1,841";"2,162";"-0,631"
"9121";"Kutnohorsko";"9";"1,833";"2,158";"-0,632"
"9122";"živnost";"9";"1,832";"2,157";"-0,632"
"9123";"Charlie";"9";"1,83";"2,156";"-0,632"
"9124";"obočí";"9";"1,829";"2,155";"-0,632"
"9125";"Ježek";"10";"0,696";"1,21";"-0,632"
"9126";"atentát";"10";"0,695";"1,209";"-0,632"
"9127";"průběžně";"10";"0,693";"1,207";"-0,633"
"9128";"hlad";"10";"0,692";"1,205";"-0,633"
"9129";"celosvětově";"9";"1,809";"2,144";"-0,634"
"9130";"zácpa";"9";"1,8";"2,139";"-0,634"
"9131";"Leo";"9";"1,795";"2,135";"-0,635"
"9132";"probrat";"10";"0,677";"1,184";"-0,635"
"9133";"gumový";"9";"1,776";"2,124";"-0,636"
"9134";"sběratel";"10";"0,671";"1,175";"-0,637"
"9135";"šikovný";"11";"0,147";"0,321";"-0,637"
"9136";"školení";"10";"0,667";"1,171";"-0,637"
"9137";"bruselský";"9";"1,765";"2,117";"-0,637"
"9138";"Soukup";"10";"0,665";"1,168";"-0,638"
"9139";"impulz";"10";"0,664";"1,166";"-0,638"
"9140";"reproduktor";"9";"1,758";"2,113";"-0,638"
"9141";"Tchaj-wan";"9";"1,757";"2,113";"-0,638"
"9142";"běžkař";"9";"1,755";"2,111";"-0,638"
"9143";"Plzeňan";"9";"1,753";"2,11";"-0,638"
"9144";"Fed";"9";"1,742";"2,103";"-0,639"
"9145";"oponovat";"9";"1,742";"2,103";"-0,639"
"9146";"úspora";"13";"-0,415";"-1,2";"-0,64"
"9147";"vysokoškolský";"10";"0,65";"1,148";"-0,64"
"9148";"hlásat";"9";"1,728";"2,095";"-0,64"
"9149";"minule";"9";"1,727";"2,094";"-0,64"
"9150";"zbláznit";"9";"1,725";"2,092";"-0,641"
"9151";"balit";"9";"1,721";"2,09";"-0,641"
"9152";"osvědčit";"10";"0,639";"1,132";"-0,642"
"9153";"zásahový";"9";"1,701";"2,077";"-0,643"
"9154";"porozumět";"9";"1,7";"2,076";"-0,643"
"9155";"zalíbit";"9";"1,694";"2,073";"-0,643"
"9156";"Gabriela";"10";"0,633";"1,124";"-0,643"
"9157";"různorodý";"9";"1,69";"2,07";"-0,643"
"9158";"přistání";"9";"1,684";"2,067";"-0,644"
"9159";"Mládek";"9";"1,683";"2,066";"-0,644"
"9160";"BIS";"9";"1,672";"2,058";"-0,645"
"9161";"bezproblémový";"9";"1,671";"2,058";"-0,645"
"9162";"dlažba";"10";"0,62";"1,105";"-0,645"
"9163";"neděle";"37";"-1,514";"-11,288";"-0,646"
"9164";"džíny";"9";"1,656";"2,048";"-0,646"
"9165";"porušení";"11";"0,108";"0,24";"-0,646"
"9166";"čára";"12";"-0,21";"-0,544";"-0,647"
"9167";"odpustit";"10";"0,612";"1,093";"-0,647"
"9168";"památník";"11";"0,103";"0,229";"-0,648"
"9169";"outsider";"9";"1,627";"2,029";"-0,649"
"9170";"Vlašim";"10";"0,6";"1,076";"-0,649"
"9171";"Ruml";"9";"1,622";"2,025";"-0,649"
"9172";"Karvinsko";"9";"1,622";"2,025";"-0,649"
"9173";"vodárna";"9";"1,616";"2,022";"-0,65"
"9174";"chutný";"9";"1,614";"2,02";"-0,65"
"9175";"podpis";"13";"-0,444";"-1,299";"-0,65"
"9176";"sankce";"11";"0,092";"0,204";"-0,651"
"9177";"Jindra";"9";"1,605";"2,014";"-0,651"
"9178";"seno";"9";"1,602";"2,012";"-0,651"
"9179";"urážka";"9";"1,6";"2,01";"-0,651"
"9180";"panský";"9";"1,598";"2,009";"-0,651"
"9181";"podřídit";"9";"1,598";"2,009";"-0,651"
"9182";"jugoslávský";"9";"1,594";"2,006";"-0,652"
"9183";"počínaje";"9";"1,589";"2,003";"-0,652"
"9184";"klášterní";"9";"1,588";"2,002";"-0,652"
"9185";"provaz";"9";"1,588";"2,002";"-0,652"
"9186";"bublina";"9";"1,586";"2,001";"-0,653"
"9187";"mizerný";"9";"1,585";"2";"-0,653"
"9188";"pilíř";"10";"0,58";"1,047";"-0,653"
"9189";"hospic";"9";"1,584";"1,999";"-0,653"
"9190";"čekárna";"9";"1,582";"1,998";"-0,653"
"9191";"Jacques";"9";"1,579";"1,996";"-0,653"
"9192";"Straka";"10";"0,576";"1,041";"-0,653"
"9193";"páska";"10";"0,575";"1,039";"-0,654"
"9194";"nasadit";"12";"-0,235";"-0,613";"-0,654"
"9195";"opera";"13";"-0,456";"-1,339";"-0,655"
"9196";"fiktivní";"9";"1,56";"1,982";"-0,655"
"9197";"glosa";"9";"1,553";"1,977";"-0,656"
"9198";"Břeclav";"12";"-0,243";"-0,635";"-0,657"
"9199";"Benešovsko";"9";"1,538";"1,967";"-0,657"
"9200";"pozdrav";"9";"1,537";"1,966";"-0,657"
"9201";"stříbro";"12";"-0,244";"-0,637";"-0,657"
"9202";"znemožnit";"9";"1,532";"1,962";"-0,658"
"9203";"cm";"17";"-0,945";"-3,817";"-0,658"
"9204";"Sebastian";"9";"1,529";"1,961";"-0,658"
"9205";"oprava";"27";"-1,37";"-8,236";"-0,658"
"9206";"hraní";"10";"0,546";"0,996";"-0,659"
"9207";"soustředění";"12";"-0,25";"-0,654";"-0,659"
"9208";"kompetence";"10";"0,545";"0,995";"-0,659"
"9209";"osvětlení";"12";"-0,251";"-0,658";"-0,659"
"9210";"vinař";"10";"0,543";"0,992";"-0,659"
"9211";"Polívka";"9";"1,511";"1,947";"-0,659"
"9212";"převrat";"9";"1,508";"1,945";"-0,66"
"9213";"kožní";"9";"1,503";"1,941";"-0,66"
"9214";"moravskoslezský";"12";"-0,254";"-0,666";"-0,66"
"9215";"srovnat";"13";"-0,471";"-1,393";"-0,661"
"9216";"konopí";"9";"1,495";"1,936";"-0,661"
"9217";"Kladensko";"9";"1,495";"1,935";"-0,661"
"9218";"libovolný";"9";"1,492";"1,933";"-0,661"
"9219";"farmaceutický";"9";"1,491";"1,933";"-0,661"
"9220";"&";"16";"-0,868";"-3,299";"-0,662"
"9221";"Stejskal";"9";"1,482";"1,926";"-0,662"
"9222";"prospívat";"9";"1,478";"1,923";"-0,663"
"9223";"Karviná";"14";"-0,64";"-2,089";"-0,663"
"9224";"e-shop";"9";"1,472";"1,919";"-0,663"
"9225";"zklamaný";"10";"0,522";"0,961";"-0,663"
"9226";"potravinářský";"10";"0,52";"0,957";"-0,664"
"9227";"Schumacher";"9";"1,467";"1,915";"-0,664"
"9228";"budějovický";"10";"0,519";"0,956";"-0,664"
"9229";"varování";"10";"0,518";"0,953";"-0,664"
"9230";"Oskar";"9";"1,458";"1,908";"-0,665"
"9231";"atomový";"9";"1,456";"1,906";"-0,665"
"9232";"válec";"9";"1,452";"1,904";"-0,665"
"9233";"horolezec";"9";"1,451";"1,902";"-0,665"
"9234";"Masarykův";"13";"-0,484";"-1,438";"-0,665"
"9235";"šikana";"9";"1,439";"1,893";"-0,666"
"9236";"tajemný";"10";"0,496";"0,921";"-0,668"
"9237";"příjemce";"9";"1,421";"1,879";"-0,668"
"9238";"stáž";"9";"1,42";"1,879";"-0,668"
"9239";"uklidňovat";"9";"1,415";"1,875";"-0,669"
"9240";"překvapovat";"9";"1,414";"1,874";"-0,669"
"9241";"půlroční";"9";"1,407";"1,869";"-0,67"
"9242";"1979";"9";"1,405";"1,867";"-0,67"
"9243";"rekonstrukce";"26";"-1,363";"-8,018";"-0,67"
"9244";"centimetr";"15";"-0,786";"-2,805";"-0,671"
"9245";"páteční";"12";"-0,289";"-0,77";"-0,672"
"9246";"tip";"17";"-0,975";"-3,981";"-0,673"
"9247";"okrajový";"9";"1,371";"1,84";"-0,673"
"9248";"směna";"10";"0,468";"0,876";"-0,674"
"9249";"otevření";"13";"-0,506";"-1,515";"-0,674"
"9250";"experimentální";"9";"1,362";"1,833";"-0,674"
"9251";"lyžařský";"12";"-0,299";"-0,797";"-0,675"
"9252";"Dobříš";"9";"1,355";"1,827";"-0,675"
"9253";"souhlas";"12";"-0,299";"-0,799";"-0,675"
"9254";"Hodonínsko";"9";"1,349";"1,822";"-0,676"
"9255";"ŘSD";"9";"1,347";"1,82";"-0,676"
"9256";"vyrazit";"19";"-1,111";"-5,056";"-0,676"
"9257";"listí";"9";"1,346";"1,82";"-0,676"
"9258";"obnova";"14";"-0,673";"-2,222";"-0,677"
"9259";"schod";"11";"-0,008";"-0,019";"-0,677"
"9260";"turnaj";"33";"-1,505";"-10,557";"-0,677"
"9261";"94";"9";"1,325";"1,803";"-0,678"
"9262";"rozvíjet";"11";"-0,015";"-0,034";"-0,678"
"9263";"Nymburk";"13";"-0,519";"-1,561";"-0,678"
"9264";"návykový";"9";"1,321";"1,799";"-0,679"
"9265";"třebíčský";"10";"0,441";"0,833";"-0,679"
"9266";"půdní";"9";"1,318";"1,797";"-0,679"
"9267";"Chebsko";"9";"1,315";"1,794";"-0,679"
"9268";"prvně";"9";"1,312";"1,792";"-0,68"
"9269";"zastaralý";"9";"1,309";"1,789";"-0,68"
"9270";"cílový";"10";"0,433";"0,819";"-0,68"
"9271";"vyfotit";"9";"1,3";"1,782";"-0,681"
"9272";"sranda";"9";"1,296";"1,778";"-0,681"
"9273";"lehnout";"9";"1,29";"1,774";"-0,682"
"9274";"šachový";"9";"1,28";"1,765";"-0,683"
