"id";"lemma";"Freq";"MI";"T-score";"logDice"
"2845";"kolemjdoucí";"38";"3,068";"5,429";"1,36"
"2846";"kontinent";"42";"2,357";"5,215";"1,36"
"2847";"tykat";"34";"5,248";"5,678";"1,359"
"2848";"kostel";"93";"0,759";"3,947";"1,358"
"2849";"energie";"90";"0,786";"3,985";"1,358"
"2850";"vulgární";"35";"4,251";"5,605";"1,358"
"2851";"stádně";"33";"11,919";"5,743";"1,358"
"2852";"nestandardně";"33";"11,346";"5,742";"1,358"
"2853";"chuť";"73";"0,993";"4,252";"1,357"
"2854";"násilí";"52";"1,577";"4,794";"1,357"
"2855";"Československo";"51";"1,626";"4,828";"1,357"
"2856";"hádka";"39";"2,817";"5,359";"1,357"
"2857";"rezervace";"42";"2,342";"5,202";"1,357"
"2858";"úřednice";"36";"3,688";"5,534";"1,356"
"2859";"boxer";"38";"3,033";"5,411";"1,356"
"2860";"sektor";"49";"1,733";"4,894";"1,355"
"2861";"udržitelně";"33";"8,887";"5,732";"1,355"
"2862";"bourec";"33";"8,696";"5,731";"1,355"
"2863";"pomoci";"171";"0,431";"3,376";"1,354"
"2864";"roztržitě";"33";"8,116";"5,724";"1,353"
"2865";"sobecký";"34";"5,029";"5,652";"1,353"
"2866";"de";"58";"1,327";"4,581";"1,352"
"2867";"Josef";"146";"0,489";"3,471";"1,352"
"2868";"hovořit";"76";"0,935";"4,158";"1,35"
"2869";"kritik";"45";"2,001";"5,033";"1,35"
"2870";"nadčlověk";"33";"7,428";"5,711";"1,349"
"2871";"školka";"58";"1,32";"4,566";"1,349"
"2872";"2000";"67";"1,088";"4,335";"1,349"
"2873";"perský";"35";"4,098";"5,571";"1,349"
"2874";"kravín";"34";"4,908";"5,637";"1,348"
"2875";"bezdůvodně";"34";"4,901";"5,636";"1,348"
"2876";"biofarma";"33";"7,219";"5,706";"1,348"
"2877";"strýc";"37";"3,242";"5,44";"1,348"
"2878";"lék";"65";"1,128";"4,374";"1,348"
"2879";"pronajatý";"36";"3,586";"5,5";"1,347"
"2880";"venkovní";"47";"1,837";"4,937";"1,347"
"2881";"hrubý";"53";"1,504";"4,713";"1,347"
"2882";"husky";"33";"7,064";"5,702";"1,347"
"2883";"ochočený";"33";"7,004";"5,7";"1,346"
"2884";"hokejista";"85";"0,815";"3,98";"1,345"
"2885";"jeseter";"33";"6,856";"5,695";"1,345"
"2886";"linie";"43";"2,168";"5,098";"1,343"
"2887";"Tomáš";"146";"0,478";"3,406";"1,343"
"2888";"pouhý";"70";"1,019";"4,237";"1,343"
"2889";"špičkový";"49";"1,696";"4,84";"1,343"
"2890";"chléb";"46";"1,897";"4,962";"1,343"
