"";"lemma";"freq";"freq [%]"
"264";"místo";"22";"0.0"
"265";"šimpanz";"22";"0.0"
"266";"brojler";"22";"0.0"
"267";"vlčák";"22";"0.0"
"268";"křepelka";"22";"0.0"
"269";"rámec";"22";"0.0"
"270";"děťátko";"22";"0.0"
"271";"relikvie";"22";"0.0"
"272";"země";"21";"0.0"
"273";"plodina";"21";"0.0"
"274";"ohled";"21";"0.0"
"275";"žába";"21";"0.0"
"276";"majetek";"21";"0.0"
"277";"krocan";"21";"0.0"
"278";"opovržení";"21";"0.0"
"279";"jídlo";"21";"0.0"
"280";"pomoc";"21";"0.0"
"281";"bizon";"21";"0.0"
"282";"podzim";"21";"0.0"
"283";"jak";"21";"0.0"
"284";"ještěr";"21";"0.0"
"285";"lachtan";"21";"0.0"
"286";"klisna";"20";"0.0"
"287";"spotřeba";"20";"0.0"
"288";"část";"20";"0.0"
"289";"fenka";"20";"0.0"
"290";"vepřík";"20";"0.0"
"291";"emoce";"20";"0.0"
"292";"rodina";"20";"0.0"
"293";"poměry";"20";"0.0"
"294";"mravenečník";"20";"0.0"
"295";"pitbul";"20";"0.0"
"296";"měsíc";"20";"0.0"
"297";"despekt";"20";"0.0"
"298";"obilí";"20";"0.0"
"299";"orel";"20";"0.0"
"300";"varan";"20";"0.0"
"301";"orangutan";"20";"0.0"
"302";"zima";"19";"0.0"
"303";"čmelák";"19";"0.0"
"304";"mšice";"19";"0.0"
"305";"sen";"19";"0.0"
"306";"očekávání";"19";"0.0"
"307";"sokol";"19";"0.0"
"308";"lov";"19";"0.0"
"309";"vůl";"19";"0.0"
"310";"forma";"19";"0.0"
"311";"rotvajler";"19";"0.0"
"312";"stavák";"18";"0.0"
"313";"bourec";"18";"0.0"
"314";"slepička";"18";"0.0"
"315";"bělouš";"18";"0.0"
"316";"přízeň";"18";"0.0"
"317";"sestřička";"18";"0.0"
"318";"prostor";"18";"0.0"
"319";"období";"18";"0.0"
"320";"holčička";"18";"0.0"
"321";"třída";"18";"0.0"
"322";"právo";"18";"0.0"
"323";"nosál";"18";"0.0"
"324";"potomek";"17";"0.0"
"325";"teriér";"17";"0.0"
"326";"veverka";"17";"0.0"
"327";"jalovice";"17";"0.0"
"328";"chování";"17";"0.0"
"329";"strana";"17";"0.0"
"330";"mimino";"17";"0.0"
"331";"výjimka";"17";"0.0"
"332";"hodina";"17";"0.0"
"333";"svět";"17";"0.0"
"334";"ještěrka";"17";"0.0"
"335";"pašík";"17";"0.0"
"336";"násada";"17";"0.0"
"337";"savec";"17";"0.0"
"338";"aligátor";"17";"0.0"
"339";"úterý";"17";"0.0"
"340";"hlídka";"17";"0.0"
"341";"takin";"16";"0.0"
"342";"potrava";"16";"0.0"
"343";"tendence";"16";"0.0"
"344";"zařízení";"16";"0.0"
"345";"jeřáb";"16";"0.0"
"346";"nechuť";"16";"0.0"
"347";"hřebec";"16";"0.0"
"348";"rasa";"16";"0.0"
"349";"sumec";"16";"0.0"
"350";"povinnost";"16";"0.0"
"351";"role";"16";"0.0"
"352";"náklad";"16";"0.0"
"353";"známka";"16";"0.0"
"354";"trocha";"16";"0.0"
"355";"pondělí";"16";"0.0"
"356";"kanárek";"16";"0.0"
"357";"teplokrevník";"16";"0.0"
"358";"příroda";"16";"0.0"
"359";"jednání";"16";"0.0"
"360";"krajta";"16";"0.0"
"361";"surikata";"16";"0.0"
"362";"strakáč";"15";"0.0"
"363";"osmák";"15";"0.0"
"364";"silnice";"15";"0.0"
"365";"exemplář";"15";"0.0"
"366";"slabost";"15";"0.0"
"367";"produkt";"15";"0.0"
"368";"informace";"15";"0.0"
"369";"kousek";"15";"0.0"
"370";"hucul";"15";"0.0"
"371";"neděle";"15";"0.0"
"372";"ptáček";"15";"0.0"
"373";"kravka";"15";"0.0"
"374";"hodnota";"15";"0.0"
"375";"lipicán";"15";"0.0"
"376";"psík";"15";"0.0"
"377";"kočkodan";"15";"0.0"
"378";"králíček";"15";"0.0"
"379";"alpaka";"15";"0.0"
"380";"makak";"15";"0.0"
"381";"krok";"15";"0.0"
"382";"město";"15";"0.0"
"383";"výzva";"15";"0.0"
"384";"host";"15";"0.0"
"385";"zdroj";"15";"0.0"
"386";"retrívr";"15";"0.0"
"387";"dům";"15";"0.0"
"388";"výsledek";"15";"0.0"
"389";"buvol";"14";"0.0"
"390";"sport";"14";"0.0"
"391";"ochrana";"14";"0.0"
"392";"opatření";"14";"0.0"
"393";"voda";"14";"0.0"
"394";"výroba";"14";"0.0"
"395";"vydra";"14";"0.0"
"396";"porážka";"14";"0.0"
"397";"ruka";"14";"0.0"
"398";"ohař";"14";"0.0"
"399";"večer";"14";"0.0"
"400";"film";"14";"0.0"
"401";"zástupce";"14";"0.0"
"402";"typ";"14";"0.0"
"403";"výstava";"14";"0.0"
"404";"riziko";"14";"0.0"
"405";"hrošík";"14";"0.0"
"406";"pudl";"14";"0.0"
"407";"strážník";"14";"0.0"
"408";"míra";"14";"0.0"
"409";"opeřenec";"13";"0.0"
"410";"nemluvně";"13";"0.0"
"411";"firma";"13";"0.0"
"412";"skupinka";"13";"0.0"
"413";"program";"13";"0.0"
"414";"krása";"13";"0.0"
"415";"klub";"13";"0.0"
"416";"primát";"13";"0.0"
"417";"zásada";"13";"0.0"
"418";"dohoda";"13";"0.0"
"419";"síla";"13";"0.0"
"420";"potíž";"13";"0.0"
"421";"agama";"13";"0.0"
"422";"hráč";"13";"0.0"
"423";"pán";"13";"0.0"
"424";"srst";"13";"0.0"
"425";"prostředí";"13";"0.0"
"426";"záměr";"13";"0.0"
"427";"žížala";"13";"0.0"
"428";"sele";"13";"0.0"
"429";"pozor";"13";"0.0"
"430";"škoda";"13";"0.0"
"431";"divočák";"13";"0.0"
"432";"zloba";"13";"0.0"
"433";"Terezka";"13";"0.0"
"434";"tapír";"13";"0.0"
"435";"chyba";"13";"0.0"
"436";"užovka";"13";"0.0"
"437";"otázka";"13";"0.0"
"438";"čivava";"13";"0.0"
"439";"slípka";"13";"0.0"
"440";"chov";"13";"0.0"
"441";"fretka";"13";"0.0"
"442";"pochyba";"13";"0.0"
"443";"kolekce";"13";"0.0"
"444";"nepořádek";"12";"0.0"
"445";"Převalský";"12";"0.0"
"446";"bernardýn";"12";"0.0"
"447";"dvacítka";"12";"0.0"
"448";"řešení";"12";"0.0"
"449";"přítel";"12";"0.0"
"450";"děcko";"12";"0.0"
"451";"změna";"12";"0.0"
"452";"zákazník";"12";"0.0"
"453";"obraz";"12";"0.0"
"454";"postup";"12";"0.0"
"455";"Ježíšek";"12";"0.0"
"456";"pokuta";"12";"0.0"
"457";"žír";"12";"0.0"
"458";"štír";"12";"0.0"
"459";"koník";"12";"0.0"
"460";"dostatek";"12";"0.0"
"461";"pokora";"12";"0.0"
"462";"snaha";"12";"0.0"
"463";"pokus";"12";"0.0"
"464";"dílo";"12";"0.0"
"465";"brouk";"12";"0.0"
"466";"lín";"12";"0.0"
"467";"rostlina";"12";"0.0"
"468";"péče";"12";"0.0"
"469";"řidič";"12";"0.0"
"470";"sova";"12";"0.0"
"471";"nevraživost";"12";"0.0"
"472";"smysl";"12";"0.0"
"473";"šance";"11";"0.0"
"474";"domov";"11";"0.0"
"475";"stav";"11";"0.0"
"476";"cvrček";"11";"0.0"
"477";"přímorožec";"11";"0.0"
"478";"armáda";"11";"0.0"
"479";"kšeft";"11";"0.0"
"480";"bezpečnost";"11";"0.0"
"481";"kreveta";"11";"0.0"
"482";"jízda";"11";"0.0"
"483";"knírač";"11";"0.0"
"484";"chlapeček";"11";"0.0"
"485";"pořádek";"11";"0.0"
"486";"podmínka";"11";"0.0"
"487";"koníček";"11";"0.0"
"488";"hlemýžď";"11";"0.0"
"489";"gorila";"11";"0.0"
"490";"jistota";"11";"0.0"
"491";"obživa";"11";"0.0"
"492";"krmení";"11";"0.0"
"493";"plod";"11";"0.0"
"494";"výhoda";"11";"0.0"
"495";"losos";"11";"0.0"
"496";"desetiletí";"11";"0.0"
"497";"dinosaurus";"11";"0.0"
"498";"odpad";"11";"0.0"
"499";"boxer";"11";"0.0"
"500";"vnučka";"11";"0.0"
"501";"oběť";"11";"0.0"
"502";"hrabáč";"10";"0.0"
"503";"šváb";"10";"0.0"
"504";"housenka";"10";"0.0"
"505";"kamarád";"10";"0.0"
"506";"úkol";"10";"0.0"
"507";"pískomil";"10";"0.0"
"508";"amur";"10";"0.0"
"509";"sezóna";"10";"0.0"
"510";"sentiment";"10";"0.0"
"511";"populace";"10";"0.0"
"512";"bulteriér";"10";"0.0"
"513";"smlouva";"10";"0.0"
"514";"medvídek";"10";"0.0"
"515";"kotě";"10";"0.0"
"516";"labuť";"10";"0.0"
"517";"pavián";"10";"0.0"
"518";"kniha";"10";"0.0"
"519";"brambora";"10";"0.0"
"520";"přístup";"10";"0.0"
"521";"červ";"10";"0.0"
"522";"sklon";"10";"0.0"
"523";"plán";"10";"0.0"
"524";"buldok";"10";"0.0"
"525";"společnost";"10";"0.0"
"526";"kvalita";"10";"0.0"
"527";"labrador";"10";"0.0"
"528";"vzhled";"10";"0.0"
"529";"kajman";"10";"0.0"
"530";"příbuzný";"10";"0.0"
"531";"policie";"10";"0.0"
"532";"býček";"10";"0.0"
"533";"pokyn";"10";"0.0"
"534";"pátek";"10";"0.0"
"535";"kakadu";"10";"0.0"
"536";"zákaz";"10";"0.0"
"537";"šampion";"10";"0.0"
"538";"larva";"10";"0.0"
"539";"kosman";"10";"0.0"
"540";"malamut";"10";"0.0"
"541";"půda";"10";"0.0"
