id;lemma;Freq;MI;T-score;logDice;POS;VNP?
8633;tukan;9;6,549;2,968;-0,521;;
8634;coura;9;6,471;2,966;-0,521;N;
8635;Žabčice;9;6,351;2,963;-0,521;;
8636;vzdorovitý;9;6,35;2,963;-0,521;;
8637;zásobovat;10;1,522;2,061;-0,521;V;
8638;holoubek;9;6,279;2,961;-0,522;;
8639;předvídavý;9;6,214;2,96;-0,522;;
8640;podávat;15;-0,44;-1,381;-0,522;V;
8641;mufloní;9;6,154;2,958;-0,522;;
8642;včelařit;9;6,132;2,957;-0,522;V;
8643;buldoček;9;6,028;2,954;-0,523;N;
8644;lidumil;9;5,971;2,952;-0,523;;
8645;bujaře;9;5,969;2,952;-0,523;D;
8646;neskonalý;9;5,956;2,952;-0,523;A;
8647;perla;10;1,505;2,048;-0,523;N;
8648;úctyhodný;10;1,504;2,047;-0,523;A;
8649;stolovat;9;5,862;2,948;-0,523;;
8650;rapl;9;5,834;2,947;-0,524;N;
8651;sveřepě;9;5,758;2,945;-0,524;;
8652;dolar;24;-1,082;-5,469;-0,524;N;
8653;náklaďák;10;1,494;2,04;-0,524;N;
8654;Mniší;9;5,662;2,941;-0,524;;
8655;ambasáda;10;1,491;2,037;-0,525;N;
8656;mladistvě;9;5,597;2,938;-0,525;;
8657;fyzikálně;9;5,562;2,936;-0,525;;
8658;Zděchov;9;5,543;2,936;-0,525;N;
8659;dobrotivý;9;5,441;2,931;-0,526;A;
8660;plnokrevný;9;5,432;2,931;-0,526;;
8661;příspěvkový;10;1,477;2,026;-0,526;;
8662;setrvačník;9;5,376;2,928;-0,526;;
8663;otevřít;38;-1,371;-9,776;-0,526;V;
8664;ložisko;10;1,471;2,022;-0,527;;
8665;podnapilost;9;5,316;2,925;-0,527;;
8666;kokršpaněl;9;5,31;2,924;-0,527;;
8667;dopřát;11;0,654;1,209;-0,527;V;
8668;66;11;0,65;1,203;-0,528;C;
8669;úprava;24;-1,087;-5,511;-0,528;N;
8670;Dvořáková;10;1,458;2,011;-0,528;N;
8671;nakoupit;12;0,205;0,459;-0,528;V;
8672;dalmatin;9;5,112;2,913;-0,528;N;
8673;hymna;10;1,456;2,009;-0,528;N;
8674;jakpak;9;5,088;2,912;-0,529;;
8675;opičák;9;5,08;2,911;-0,529;N;
8676;šakal;9;5,069;2,911;-0,529;N;
8677;mizera;9;5,059;2,91;-0,529;N;
8678;albín;9;5,059;2,91;-0,529;;
8679;nezřízený;9;5,053;2,91;-0,529;A;
8680;ledově;9;5,039;2,909;-0,529;;
8681;perfektní;11;0,642;1,191;-0,529;A;
8682;Cora;9;5,024;2,908;-0,529;N;
8683;Cynthia;9;4,998;2,906;-0,529;N;
8684;ožralý;9;4,964;2,904;-0,53;;
8685;výstřel;10;1,443;1,999;-0,53;;
8686;tygřice;9;4,942;2,902;-0,53;;
8687;infantilní;9;4,889;2,899;-0,53;;
8688;klecový;9;4,881;2,898;-0,531;A;
8689;kresba;13;-0,094;-0,242;-0,531;N;
8690;podvodně;9;4,852;2,896;-0,531;D;
8691;lakomec;9;4,847;2,896;-0,531;N;
8692;získaný;12;0,194;0,436;-0,531;A;
8693;krvelačný;9;4,806;2,893;-0,531;;
8694;plavý;9;4,785;2,891;-0,532;A;
8695;korýš;9;4,783;2,891;-0,532;;
8696;úzkostlivý;9;4,752;2,889;-0,532;A;
8697;provést;20;-0,913;-3,952;-0,532;V;
8698;sebestředný;9;4,728;2,887;-0,532;A;
8699;filozof;10;1,413;1,975;-0,533;N;
8700;zčistajasna;9;4,652;2,881;-0,533;D;
8701;Prášek;9;4,652;2,881;-0,533;N;
8702;odteď;9;4,649;2,88;-0,533;;
8703;štětka;9;4,646;2,88;-0,533;;
8704;vyznat;10;1,412;1,974;-0,533;V;
8705;konkurz;12;0,184;0,416;-0,534;N;
8706;nadaný;10;1,408;1,971;-0,534;A;
8707;rakovinný;9;4,596;2,876;-0,534;;
8708;korupční;10;1,406;1,969;-0,534;A;
8709;kód;11;0,617;1,153;-0,534;N;
8710;autentický;10;1,404;1,967;-0,534;A;
8711;škorpion;9;4,558;2,873;-0,534;N;
8712;vtíravý;9;4,556;2,872;-0,534;A;
8713;narozeniny;14;-0,312;-0,903;-0,534;N;
8714;srozumitelný;10;1,401;1,965;-0,534;A;
8715;Chaloupek;9;4,533;2,87;-0,534;;
8716;srdeční;11;0,614;1,149;-0,534;A;
8717;gestikulovat;9;4,506;2,868;-0,535;V;
8718;počínání;10;1,397;1,961;-0,535;N;
8719;invazní;9;4,503;2,868;-0,535;A;
8720;sláma;10;1,394;1,959;-0,535;;
8721;prodloužený;10;1,394;1,959;-0,535;A;
8722;protivínský;9;4,472;2,865;-0,535;;
8723;Simona;11;0,61;1,143;-0,535;N;
8724;Wimbledon;10;1,392;1,957;-0,535;N;
8725;Vyškovsko;10;1,391;1,957;-0,535;;
8726;měkce;9;4,439;2,862;-0,536;;
8727;zpěvný;9;4,435;2,861;-0,536;A;
8728;ruda;10;1,388;1,954;-0,536;N;
8729;medvídě;9;4,425;2,86;-0,536;;
8730;odhadovat;14;-0,317;-0,918;-0,536;V;
8731;ubikace;9;4,422;2,86;-0,536;N;
8732;zoufalec;9;4,415;2,859;-0,536;N;
8733;tenký;11;0,604;1,135;-0,536;A;
8734;chudinka;9;4,36;2,854;-0,537;N;
8735;Chlumec;10;1,379;1,946;-0,537;;
8736;zfetovaný;9;4,342;2,852;-0,537;;
8737;teplický;12;0,171;0,386;-0,537;A;
8738;nájemnice;9;4,323;2,85;-0,537;;
8739;postaru;9;4,297;2,847;-0,538;;
8740;aristokratický;9;4,296;2,847;-0,538;A;
8741;jihovýchodní;10;1,371;1,94;-0,538;A;
8742;automobilista;9;4,282;2,846;-0,538;N;
8743;Choceň;10;1,368;1,937;-0,538;;
8744;bačkora;9;4,267;2,844;-0,538;N;
8745;Gerald;9;4,258;2,843;-0,538;N;
8746;naplno;13;-0,118;-0,307;-0,538;D;
8747;úvodní;19;-0,864;-3,573;-0,539;A;
8748;předtucha;9;4,226;2,84;-0,539;N;
8749;Helenka;9;4,216;2,839;-0,539;N;
8750;holička;9;4,194;2,836;-0,539;;
8751;sebejistý;9;4,187;2,835;-0,539;A;
8752;přespříliš;9;4,187;2,835;-0,539;D;
8753;190;10;1,355;1,926;-0,54;;
8754;nadstandardní;10;1,354;1,925;-0,54;A;
8755;včelka;9;4,161;2,832;-0,54;N;
8756;semeno;10;1,352;1,923;-0,54;;
8757;poučitelný;9;4,149;2,831;-0,54;A;
8758;končit;23;-1,07;-5,274;-0,54;V;
8759;Karolínka;9;4,069;2,821;-0,541;;
8760;vulkán;9;4,036;2,817;-0,542;N;
8761;znamenitě;9;4,02;2,815;-0,542;;
8762;antibiotikum;10;1,329;1,903;-0,543;N;
8763;Island;10;1,327;1,902;-0,543;;
8764;šarmantní;9;3,986;2,811;-0,543;A;
8765;Ing;12;0,148;0,338;-0,543;B;
8766;Váňa;10;1,321;1,896;-0,544;N;
8767;úhlavní;9;3,949;2,806;-0,544;A;
8768;dovážet;10;1,32;1,895;-0,544;V;
8769;Edvard;10;1,319;1,894;-0,544;N;
8770;vykonavatel;9;3,926;2,803;-0,544;N;
8771;polonahý;9;3,906;2,8;-0,544;;
8772;sluchátko;10;1,312;1,888;-0,545;N;
8773;diva;9;3,885;2,797;-0,545;;
8774;konstanta;9;3,872;2,795;-0,545;N;
8775;protestant;9;3,865;2,794;-0,545;N;
8776;US;11;0,559;1,065;-0,545;B;
8777;Octavia;10;1,305;1,882;-0,545;;
8778;entita;9;3,824;2,788;-0,546;N;
8779;klon;9;3,817;2,787;-0,546;;
8780;převládat;10;1,295;1,873;-0,547;V;
8781;božstvo;9;3,776;2,781;-0,547;N;
8782;mikroskopický;9;3,735;2,775;-0,548;;
8783;použitý;11;0,544;1,041;-0,548;A;
8784;privilegovaný;9;3,719;2,772;-0,548;A;
8785;uznání;11;0,543;1,041;-0,548;N;
8786;svádět;10;1,279;1,859;-0,548;V;
8787;cívka;9;3,708;2,77;-0,549;N;
8788;vodnář;9;3,691;2,768;-0,549;N;
8789;regulovat;10;1,272;1,853;-0,549;V;
8790;jednoznačný;12;0,124;0,286;-0,549;A;
8791;stolování;9;3,66;2,763;-0,55;N;
8792;znečišťovat;9;3,649;2,761;-0,55;V;
8793;Madagaskar;9;3,632;2,758;-0,55;;
8794;670;9;3,616;2,755;-0,551;;
8795;holding;11;0,531;1,021;-0,551;N;
8796;vousatý;9;3,608;2,754;-0,551;A;
8797;pískat;10;1,258;1,84;-0,551;V;
8798;sklenička;10;1,258;1,84;-0,551;;
8799;vysvětlitelný;9;3,591;2,751;-0,551;A;
8800;aukce;11;0,528;1,017;-0,551;;
8801;patro;15;-0,512;-1,65;-0,551;N;
8802;odchovat;9;3,58;2,749;-0,552;V;
8803;demoliční;9;3,575;2,748;-0,552;;
8804;Pavla;11;0,526;1,014;-0,552;N;
8805;kvasinka;9;3,555;2,745;-0,552;;
8806;restituent;9;3,555;2,745;-0,552;;
8807;genový;9;3,548;2,744;-0,552;;
8808;represivní;9;3,544;2,743;-0,552;A;
8809;spis;11;0,522;1,006;-0,553;N;
8810;mokro;9;3,529;2,74;-0,553;N;
8811;tonoucí;9;3,524;2,739;-0,553;A;
8812;zpětně;10;1,242;1,825;-0,553;D;
8813;čekání;11;0,519;1,002;-0,553;N;
8814;moskevský;10;1,239;1,822;-0,553;A;
8815;zajištění;13;-0,165;-0,437;-0,554;N;
8816;odborářský;9;3,485;2,732;-0,554;A;
8817;horal;9;3,483;2,732;-0,554;N;
8818;provizorní;10;1,231;1,815;-0,554;;
8819;skladatel;12;0,105;0,242;-0,555;N;
8820;unavený;11;0,512;0,991;-0,555;A;
8821;naklánět;9;3,452;2,726;-0,555;V;
8822;tvrdohlavý;9;3,451;2,726;-0,555;A;
8823;Růženka;9;3,45;2,725;-0,555;;
8824;trvat;33;-1,341;-8,806;-0,555;V;
8825;nestor;9;3,443;2,724;-0,555;;
8826;erotický;10;1,225;1,81;-0,555;A;
8827;krvinka;9;3,434;2,723;-0,555;;
8828;invazivní;9;3,431;2,722;-0,555;;
8829;slávista;10;1,223;1,807;-0,555;N;
8830;Homo;9;3,428;2,721;-0,555;F;
8831;kynolog;9;3,411;2,718;-0,556;N;
8832;Libor;14;-0,371;-1,099;-0,556;N;
8833;západně;9;3,397;2,715;-0,556;;
8834;technoparty;9;3,378;2,711;-0,557;N;
8835;Peugeot;10;1,21;1,796;-0,557;;
8836;imaginární;9;3,37;2,71;-0,557;A;
8837;poučený;9;3,366;2,709;-0,557;A;
8838;činžák;9;3,346;2,705;-0,558;;
8839;Ferda;9;3,343;2,704;-0,558;;
8840;Hukvaldy;9;3,333;2,702;-0,558;N;
8841;žel;9;3,317;2,699;-0,559;T;
8842;vězněný;9;3,309;2,697;-0,559;A;
8843;570;9;3,308;2,697;-0,559;;
8844;Pchjongjang;9;3,304;2,696;-0,559;;
8845;plyšák;9;3,292;2,694;-0,559;N;
8846;maličko;9;3,289;2,693;-0,559;D;
8847;primátorka;10;1,19;1,776;-0,559;N;
8848;zjišťovat;12;0,087;0,202;-0,559;V;
8849;Dean;9;3,284;2,692;-0,559;N;
8850;leckde;9;3,276;2,69;-0,56;;
8851;místostarosta;16;-0,653;-2,289;-0,56;N;
8852;začátkem;13;-0,185;-0,493;-0,56;R;
8853;človíček;9;3,263;2,688;-0,56;N;
8854;veš;9;3,253;2,685;-0,56;N;
8855;Popelka;10;1,182;1,769;-0,56;N;
8856;kovaný;9;3,247;2,684;-0,561;;
8857;zvát;15;-0,535;-1,737;-0,561;V;
8858;rváč;9;3,234;2,681;-0,561;N;
8859;uposlechnout;9;3,232;2,681;-0,561;V;
8860;Vojtíšek;9;3,226;2,679;-0,561;;
8861;pánský;10;1,176;1,763;-0,561;A;
8862;strejda;9;3,216;2,677;-0,562;N;
8863;pokladna;13;-0,19;-0,507;-0,562;N;
8864;Amy;9;3,209;2,675;-0,562;N;
8865;vypuštění;9;3,198;2,673;-0,562;N;
8866;pečovatelka;9;3,196;2,673;-0,562;;
8867;loupit;9;3,18;2,669;-0,563;V;
8868;Tachovsko;10;1,162;1,749;-0,563;;
8869;výměna;17;-0,758;-2,85;-0,563;N;
8870;580;9;3,159;2,664;-0,563;C;
8871;postěžovat;10;1,159;1,747;-0,563;V;
8872;obloha;11;0,467;0,918;-0,564;N;
8873;Aneta;10;1,155;1,743;-0,564;N;
8874;činžovní;9;3,136;2,659;-0,564;;
8875;akt;11;0,462;0,909;-0,565;N;
8876;Nagyová;9;3,102;2,651;-0,565;;
8877;třicátník;9;3,098;2,65;-0,565;N;
8878;významně;11;0,46;0,905;-0,565;D;
8879;kontejner;12;0,061;0,143;-0,567;N;
8880;straník;9;3,06;2,64;-0,567;N;
8881;chobotnice;9;3,042;2,636;-0,567;N;
8882;vyprávění;11;0,448;0,885;-0,568;N;
8883;obhospodařovat;9;3,023;2,631;-0,568;V;
8884;bažina;9;3,02;2,63;-0,568;;
8885;temperament;9;2,984;2,621;-0,569;N;
8886;maškara;9;2,972;2,618;-0,57;;
8887;sedmačtyřicetiletý;9;2,962;2,615;-0,57;A;
8888;rychlostní;11;0,437;0,866;-0,57;A;
8889;zapojit;17;-0,773;-2,922;-0,57;V;
8890;toulavý;9;2,946;2,611;-0,571;A;
8891;pověření;9;2,945;2,61;-0,571;;
8892;žalovaný;9;2,94;2,609;-0,571;A;
8893;hnusný;9;2,94;2,609;-0,571;A;
8894;zrakově;9;2,933;2,607;-0,571;;
8895;Angelina;9;2,923;2,604;-0,572;N;
8896;atlet;11;0,43;0,855;-0,572;N;
8897;Medveděv;9;2,92;2,604;-0,572;;
8898;past;10;1,096;1,683;-0,572;N;
8899;Margaret;9;2,91;2,601;-0,572;N;
8900;spotřebitelský;10;1,092;1,679;-0,572;A;
8901;doplněk;12;0,039;0,093;-0,573;N;
8902;skromnost;9;2,898;2,598;-0,573;N;
8903;vymknout;9;2,896;2,597;-0,573;;
8904;směsice;9;2,896;2,597;-0,573;N;
8905;předvést;19;-0,929;-3,937;-0,574;V;
8906;katedra;10;1,082;1,668;-0,574;N;
8907;dispozice;22;-1,084;-5,255;-0,574;N;
8908;štamgast;9;2,858;2,586;-0,574;N;
8909;560;9;2,854;2,585;-0,574;;
8910;úředně;9;2,844;2,582;-0,575;D;
8911;prohrávat;12;0,031;0,073;-0,575;V;
8912;Berdych;10;1,07;1,656;-0,575;N;
8913;infrastruktura;12;0,028;0,067;-0,576;N;
8914;renomovaný;10;1,067;1,653;-0,576;A;
8915;upřímnost;9;2,819;2,575;-0,576;N;
8916;komplikovaný;11;0,408;0,817;-0,576;A;
8917;vítězka;11;0,406;0,814;-0,577;N;
8918;kůra;10;1,053;1,638;-0,578;N;
8919;obrovsky;9;2,768;2,56;-0,578;D;
8920;Švejnar;9;2,759;2,557;-0,578;N;
8921;zastávat;11;0,399;0,802;-0,578;V;
8922;Serena;9;2,75;2,554;-0,579;;
8923;čerpání;10;1,045;1,629;-0,579;N;
8924;škodlivý;10;1,044;1,629;-0,579;A;
8925;záchod;10;1,043;1,628;-0,579;;
8926;CZ;11;0,396;0,796;-0,579;;
8927;spolupracovnice;9;2,739;2,551;-0,579;N;
8928;předně;9;2,738;2,55;-0,579;D;
8929;buněčný;9;2,731;2,548;-0,579;A;
8930;těžař;9;2,726;2,547;-0,58;;
8931;potenciálně;9;2,72;2,545;-0,58;D;
8932;nesporně;9;2,719;2,544;-0,58;T;
8933;zanedbávat;9;2,716;2,543;-0,58;V;
8934;předloha;10;1,035;1,619;-0,58;N;
8935;následník;9;2,71;2,541;-0,58;N;
8936;hornický;10;1,03;1,614;-0,581;;
8937;raketa;11;0,388;0,782;-0,581;N;
8938;sedmý;16;-0,699;-2,492;-0,581;C;
8939;Jáchym;9;2,687;2,534;-0,581;N;
8940;rozhodný;10;1,026;1,61;-0,581;A;
8941;zdráhat;9;2,683;2,533;-0,581;V;
8942;padnout;20;-1,002;-4,485;-0,582;V;
8943;úhel;11;0,383;0,773;-0,582;N;
8944;Gábina;9;2,664;2,527;-0,582;;
8945;hraběnka;9;2,662;2,526;-0,582;N;
8946;poručík;9;2,656;2,524;-0,583;N;
8947;penis;9;2,654;2,523;-0,583;N;
8948;odhodlaný;9;2,652;2,523;-0,583;A;
8949;sdělovat;10;1,015;1,598;-0,583;V;
8950;Williamsová;9;2,639;2,518;-0,583;N;
8951;zanechávat;9;2,632;2,516;-0,584;V;
8952;donekonečna;9;2,628;2,515;-0,584;D;
8953;bitva;15;-0,589;-1,954;-0,584;N;
8954;obézní;9;2,617;2,511;-0,584;A;
8955;mašina;9;2,605;2,507;-0,585;N;
8956;Radim;12;-0,008;-0,019;-0,586;N;
8957;univerzitní;10;0,992;1,572;-0,586;A;
8958;Tommy;9;2,579;2,498;-0,586;N;
8959;dvojnásob;9;2,57;2,495;-0,587;C;
8960;vyhraněný;9;2,556;2,49;-0,587;A;
8961;řidičský;11;0,357;0,727;-0,587;A;
8962;odhalení;10;0,98;1,56;-0,588;N;
8963;drzost;9;2,545;2,486;-0,588;N;
8964;ČSTV;9;2,541;2,485;-0,588;;
8965;biolog;9;2,535;2,482;-0,588;;
8966;popravdě;9;2,531;2,481;-0,589;D;
8967;53;11;0,35;0,714;-0,589;C;
8968;marihuana;10;0,968;1,546;-0,59;N;
8969;oprávnit;9;2,507;2,472;-0,59;V;
8970;optimisticky;9;2,506;2,472;-0,59;D;
8971;plnění;11;0,344;0,704;-0,59;N;
8972;Chrudim;14;-0,461;-1,408;-0,59;N;
8973;Sarah;9;2,489;2,466;-0,591;;
8974;českobudějovický;12;-0,026;-0,064;-0,591;A;
8975;senátní;10;0,957;1,533;-0,591;A;
8976;vzdor;9;2,476;2,461;-0,591;R;
8977;stratég;9;2,463;2,456;-0,592;N;
8978;poklička;9;2,454;2,452;-0,592;;
8979;lůžko;12;-0,031;-0,075;-0,592;N;
8980;4,5;10;0,947;1,523;-0,593;;
8981;peklo;11;0,334;0,686;-0,593;N;
8982;vodík;9;2,436;2,446;-0,593;;
8983;žertovat;9;2,435;2,445;-0,593;V;
8984;překonatelný;9;2,433;2,444;-0,594;A;
8985;Ankara;9;2,426;2,442;-0,594;N;
8986;půjčovat;10;0,936;1,51;-0,594;V;
8987;Marcus;9;2,419;2,439;-0,594;N;
8988;opouštět;11;0,327;0,672;-0,594;V;
8989;meziříčí;13;-0,287;-0,795;-0,594;N;
8990;pervitin;10;0,933;1,506;-0,595;N;
8991;Stropnický;9;2,398;2,431;-0,595;;
8992;poberta;9;2,398;2,431;-0,595;;
8993;mechanika;9;2,39;2,428;-0,596;N;
8994;popřít;10;0,924;1,495;-0,596;V;
8995;partička;9;2,378;2,423;-0,596;N;
8996;neznalost;9;2,367;2,419;-0,597;N;
8997;pronájem;12;-0,047;-0,115;-0,597;N;
8998;Victoria;9;2,362;2,417;-0,597;N;
8999;topení;10;0,914;1,485;-0,597;;
9000;rozdělovat;10;0,914;1,485;-0,597;V;
9001;přepravovat;9;2,359;2,415;-0,597;;
9002;jenom;9;2,358;2,415;-0,598;D;
9003;Srbsko;10;0,913;1,483;-0,598;N;
9004;];10;0,912;1,481;-0,598;Z;
9005;terorismus;10;0,91;1,48;-0,598;N;
9006;370;9;2,348;2,411;-0,598;C;
9007;95;11;0,309;0,639;-0,598;C;
9008;ženich;9;2,343;2,409;-0,598;N;
9009;plyšový;9;2,34;2,408;-0,598;;
9010;HZDS;9;2,34;2,408;-0,599;B;
9011;rodák;13;-0,3;-0,833;-0,599;N;
9012;Castro;9;2,333;2,404;-0,599;N;
9013;komplexní;11;0,306;0,634;-0,599;A;
9014;trůn;10;0,9;1,467;-0,6;N;
9015;katedrála;10;0,9;1,467;-0,6;N;
9016;čistit;10;0,899;1,466;-0,6;V;
9017;měsíční;12;-0,056;-0,138;-0,6;;
9018;třiatřicet;9;2,313;2,396;-0,6;C;
9019;zdržet;10;0,895;1,462;-0,6;V;
9020;adresát;9;2,299;2,391;-0,601;N;
9021;sakra;9;2,299;2,39;-0,601;I;
9022;zažitý;9;2,291;2,387;-0,601;A;
9023;aerolinka;9;2,286;2,385;-0,602;N;
9024;puk;12;-0,064;-0,156;-0,602;;
9025;leckdo;9;2,277;2,381;-0,602;P;
9026;ústa;12;-0,064;-0,158;-0,602;N;
9027;skřítek;9;2,266;2,376;-0,603;N;
9028;kupé;9;2,259;2,373;-0,603;N;
9029;výtvarník;12;-0,071;-0,175;-0,604;N;
9030;Tošovský;9;2,242;2,366;-0,604;N;
9031;léčení;10;0,867;1,429;-0,605;N;
9032;Náchod;12;-0,073;-0,179;-0,605;N;
9033;závazný;10;0,867;1,428;-0,605;A;
9034;á;9;2,233;2,362;-0,605;I;
9035;vůdčí;9;2,219;2,355;-0,606;A;
9036;Protivín;9;2,217;2,355;-0,606;;
9037;vír;9;2,21;2,352;-0,606;;
9038;zadávání;9;2,196;2,345;-0,607;;
9039;kronikář;9;2,194;2,344;-0,607;N;
9040;2017;12;-0,083;-0,205;-0,608;C;
9041;hloubka;11;0,267;0,56;-0,608;N;
9042;vyloučený;10;0,846;1,403;-0,608;A;
9043;tiskárna;10;0,845;1,402;-0,608;N;
9044;vytáhnout;14;-0,506;-1,572;-0,608;V;
9045;zajít;12;-0,086;-0,214;-0,609;V;
9046;bulvární;9;2,166;2,331;-0,609;A;
9047;připojený;9;2,165;2,331;-0,609;;
9048;odkládat;10;0,84;1,396;-0,609;;
9049;akademik;9;2,161;2,329;-0,609;N;
9050;obsazený;10;0,835;1,39;-0,61;A;
9051;Slovácko;13;-0,331;-0,93;-0,61;N;
9052;Weber;9;2,149;2,324;-0,61;N;
9053;Dienstbier;9;2,147;2,323;-0,61;N;
9054;povel;9;2,139;2,319;-0,61;N;
9055;zapamatovat;9;2,137;2,318;-0,611;V;
9056;tribunál;9;2,132;2,316;-0,611;;
9057;Atény;10;0,826;1,379;-0,611;N;
9058;Allen;9;2,119;2,309;-0,612;N;
9059;psychiatrie;9;2,118;2,309;-0,612;N;
9060;klasicky;9;2,115;2,308;-0,612;D;
9061;Nováková;10;0,819;1,37;-0,612;N;
9062;podobat;10;0,815;1,364;-0,613;V;
9063;vosk;9;2,087;2,294;-0,614;N;
9064;Kevin;9;2,084;2,292;-0,614;;
9065;poznatek;11;0,239;0,505;-0,615;N;
9066;sedmatřicetiletý;9;2,073;2,287;-0,615;A;
9067;Telč;10;0,799;1,345;-0,615;N;
9068;Magda;9;2,063;2,282;-0,615;N;
9069;náhradník;10;0,797;1,342;-0,616;N;
9070;psychologický;10;0,794;1,338;-0,616;A;
9071;Svitavy;11;0,23;0,489;-0,617;N;
9072;kravata;9;2,043;2,272;-0,617;N;
9073;Beckham;9;2,042;2,272;-0,617;N;
9074;dočasně;10;0,788;1,33;-0,617;D;
9075;Sylva;9;2,037;2,269;-0,617;;
9076;rasový;9;2,027;2,264;-0,618;A;
9077;koledník;9;2,023;2,262;-0,618;;
9078;újezd;9;2,022;2,261;-0,618;N;
9079;limonáda;9;2,021;2,261;-0,618;;
9080;hořkost;9;2,02;2,26;-0,618;N;
9081;psovod;9;2,017;2,259;-0,618;;
9082;původce;9;2,012;2,256;-0,619;N;
9083;sekretářka;9;2,001;2,251;-0,62;N;
9084;Sylvie;9;1,999;2,249;-0,62;N;
9085;prapor;10;0,77;1,307;-0,62;N;
9086;potrestat;12;-0,126;-0,315;-0,62;V;
9087;spadnout;15;-0,673;-2,303;-0,62;V;
9088;sebevražedný;9;1,983;2,241;-0,621;A;
9089;hrůzný;9;1,975;2,237;-0,621;A;
9090;horizont;10;0,761;1,296;-0,621;;
9091;rekreace;9;1,973;2,236;-0,622;;
9092;otevřenost;9;1,97;2,234;-0,622;N;
9093;1957;9;1,963;2,231;-0,622;;
9094;Naďa;9;1,948;2,222;-0,623;N;
9095;Angeles;10;0,748;1,279;-0,624;F;
9096;Benedikt;9;1,929;2,212;-0,625;N;
9097;světově;9;1,925;2,21;-0,625;;
9098;hodnocení;15;-0,687;-2,361;-0,626;N;
9099;pochlubit;11;0,189;0,407;-0,626;V;
9100;zdarma;17;-0,885;-3,493;-0,627;D;
9101;thajský;9;1,902;2,197;-0,627;A;
9102;financování;13;-0,38;-1,088;-0,627;N;
9103;Luděk;11;0,184;0,397;-0,628;N;
9104;šperk;11;0,184;0,397;-0,628;N;
9105;Barcelona;11;0,183;0,396;-0,628;N;
9106;Carlos;9;1,884;2,187;-0,628;N;
9107;skautský;9;1,879;2,184;-0,628;;
9108;přitahovat;10;0,719;1,241;-0,628;V;
9109;dorostenec;12;-0,153;-0,388;-0,629;N;
9110;křivda;9;1,87;2,179;-0,629;N;
9111;registr;10;0,712;1,231;-0,63;N;
9112;nostalgie;9;1,862;2,175;-0,63;N;
9113;koncový;9;1,861;2,174;-0,63;;
9114;mnichovský;9;1,852;2,169;-0,63;A;
9115;hustota;9;1,851;2,169;-0,63;;
9116;Tvrdík;9;1,847;2,166;-0,631;N;
9117;Joseph;9;1,844;2,165;-0,631;N;
9118;nedělní;15;-0,697;-2,407;-0,631;A;
9119;žádost;20;-1,088;-5,032;-0,631;N;
9120;suverenita;9;1,841;2,162;-0,631;N;
9121;Kutnohorsko;9;1,833;2,158;-0,632;N;
9122;živnost;9;1,832;2,157;-0,632;;
9123;Charlie;9;1,83;2,156;-0,632;;
9124;obočí;9;1,829;2,155;-0,632;N;
9125;Ježek;10;0,696;1,21;-0,632;N;
9126;atentát;10;0,695;1,209;-0,632;N;
9127;průběžně;10;0,693;1,207;-0,633;D;
9128;hlad;10;0,692;1,205;-0,633;N;
9129;celosvětově;9;1,809;2,144;-0,634;;
9130;zácpa;9;1,8;2,139;-0,634;N;
9131;Leo;9;1,795;2,135;-0,635;N;
9132;probrat;10;0,677;1,184;-0,635;V;
9133;gumový;9;1,776;2,124;-0,636;A;
9134;sběratel;10;0,671;1,175;-0,637;N;
9135;šikovný;11;0,147;0,321;-0,637;A;
9136;školení;10;0,667;1,171;-0,637;N;
9137;bruselský;9;1,765;2,117;-0,637;A;
9138;Soukup;10;0,665;1,168;-0,638;N;
9139;impulz;10;0,664;1,166;-0,638;N;
9140;reproduktor;9;1,758;2,113;-0,638;;
9141;Tchaj-wan;9;1,757;2,113;-0,638;N;
9142;běžkař;9;1,755;2,111;-0,638;;
9143;Plzeňan;9;1,753;2,11;-0,638;N;
9144;Fed;9;1,742;2,103;-0,639;F;
9145;oponovat;9;1,742;2,103;-0,639;V;
9146;úspora;13;-0,415;-1,2;-0,64;N;
9147;vysokoškolský;10;0,65;1,148;-0,64;A;
9148;hlásat;9;1,728;2,095;-0,64;V;
9149;minule;9;1,727;2,094;-0,64;D;
9150;zbláznit;9;1,725;2,092;-0,641;V;
9151;balit;9;1,721;2,09;-0,641;;
9152;osvědčit;10;0,639;1,132;-0,642;V;
9153;zásahový;9;1,701;2,077;-0,643;A;
9154;porozumět;9;1,7;2,076;-0,643;V;
9155;zalíbit;9;1,694;2,073;-0,643;V;
9156;Gabriela;10;0,633;1,124;-0,643;N;
9157;různorodý;9;1,69;2,07;-0,643;A;
9158;přistání;9;1,684;2,067;-0,644;N;
9159;Mládek;9;1,683;2,066;-0,644;;
9160;BIS;9;1,672;2,058;-0,645;B;
9161;bezproblémový;9;1,671;2,058;-0,645;A;
9162;dlažba;10;0,62;1,105;-0,645;;
9163;neděle;37;-1,514;-11,288;-0,646;N;
9164;džíny;9;1,656;2,048;-0,646;N;
9165;porušení;11;0,108;0,24;-0,646;N;
9166;čára;12;-0,21;-0,544;-0,647;N;
9167;odpustit;10;0,612;1,093;-0,647;V;
9168;památník;11;0,103;0,229;-0,648;N;
9169;outsider;9;1,627;2,029;-0,649;N;
9170;Vlašim;10;0,6;1,076;-0,649;N;
9171;Ruml;9;1,622;2,025;-0,649;N;
