id;lemma;Freq;MI;T-score;logDice;POS;VNP?
3322;klíčový;59;0,831;3,362;1,128;A;
3323;nástroj;56;0,903;3,48;1,127;N;
3324;Znojemsko;32;2,939;4,919;1,127;N;
3325;rozpačitě;29;4,912;5,206;1,127;D;
3326;vděčný;35;2,238;4,662;1,127;A;
3327;zadní;51;1,05;3,692;1,126;A;
3328;koncem;52;1,016;3,646;1,126;R;
3329;vietnamský;32;2,928;4,914;1,126;A;
3330;tříletý;36;2,072;4,573;1,124;A;
3331;pozor;50;1,08;3,726;1,124;T;
3332;reál;29;4,81;5,193;1,123;N;
3333;rolník;30;3,825;5,091;1,123;N;
3334;George;38;1,822;4,421;1,123;N;
3335;knihovna;70;0,629;2,956;1,122;N;
3336;přítulně;28;11,769;5,29;1,121;;
3337;snášenlivě;28;11,694;5,29;1,121;;
3338;hejtman;54;0,944;3,527;1,121;N;
3339;dotěrně;28;10,286;5,287;1,12;;
3340;zápas;338;0,013;0,171;1,12;N;
3341;nafoukaně;28;9,362;5,283;1,119;D;
3342;Michal;91;0,418;2,399;1,119;N;
3343;huculský;28;8,807;5,28;1,118;A;
3344;žoviálně;28;8,682;5,279;1,118;D;
3345;konkurenčně;28;8,512;5,277;1,118;;
3346;zřízeně;28;8,177;5,273;1,117;;
3347;dědictví;36;2,037;4,538;1,116;N;
3348;téma;90;0,42;2,396;1,116;N;
3349;macho;28;7,899;5,269;1,116;N;
3350;akvarista;28;7,771;5,267;1,115;;
3351;nápad;56;0,877;3,408;1,115;N;
3352;Albánec;30;3,681;5,05;1,113;N;
3353;e;35;2,172;4,604;1,113;B;
3354;tapír;28;7,217;5,256;1,112;;
3355;pašík;28;7,172;5,255;1,112;N;
3356;konkrétně;44;1,324;3,983;1,112;D;
3357;zatčení;31;3,159;4,945;1,111;N;
3358;stránka;93;0,392;2,294;1,111;N;
3359;Masaryk;36;2,01;4,51;1,11;N;
3360;televizní;64;0,7;3,076;1,11;A;
3361;Iveta;34;2,327;4,669;1,109;N;
3362;docházet;57;0,841;3,336;1,109;V;
3363;pochválit;36;2,003;4,503;1,108;V;
3364;sklo;48;1,122;3,746;1,108;N;
3365;sotva;39;1,668;4,279;1,107;D;
3366;ustrašeně;28;6,554;5,235;1,107;D;
3367;slaboch;28;6,532;5,234;1,107;N;
3368;duben;89;0,414;2,352;1,106;N;
3369;vyšetřování;47;1,16;3,787;1,106;N;
3370;upravený;38;1,759;4,343;1,106;A;
3371;krutý;35;2,133;4,567;1,105;A;
3372;spořitelna;40;1,571;4,195;1,104;N;
3373;korektní;30;3,556;5,012;1,104;A;
3374;Švéd;33;2,495;4,726;1,103;N;
3375;vyplácet;35;2,12;4,555;1,103;V;
3376;viník;34;2,287;4,636;1,102;N;
3377;dosavadní;57;0,827;3,295;1,102;A;
3378;vytvářet;53;0,933;3,468;1,102;V;
3379;zajíc;30;3,527;5,002;1,102;N;
3380;1992;39;1,647;4,25;1,101;C;
3381;léčebna;34;2,281;4,631;1,101;N;
3382;králíček;28;6,024;5,21;1,101;;
3383;dostatečný;50;1,029;3,605;1,101;A;
3384;Iráčan;29;4,244;5,101;1,101;N;
3385;Marek;73;0,555;2,728;1,101;N;
3386;tepelný;36;1,969;4,467;1,101;A;
3387;aligátor;28;5,961;5,207;1,1;;
3388;pravděpodobnost;39;1,642;4,243;1,1;N;
3389;zboží;64;0,681;3,011;1,099;N;
3390;play;48;1,101;3,697;1,099;F;
3391;Sparta;89;0,402;2,295;1,099;N;
3392;Kuba;36;1,955;4,453;1,097;N;
3393;posedlý;29;4,15;5,082;1,096;A;
3394;mínění;35;2,09;4,526;1,096;N;
3395;přijet;95;0,358;2,143;1,096;V;
3396;šváb;28;5,668;5,187;1,095;N;
3397;teriér;28;5,612;5,183;1,094;;
3398;napadený;32;2,683;4,776;1,094;A;
3399;dětský;93;0,366;2,159;1,092;A;
3400;scénář;44;1,269;3,88;1,091;N;
3401;uprostřed;46;1,167;3,762;1,091;R;
3402;zištně;28;5,308;5,158;1,088;D;
3403;ponižovat;28;5,275;5,155;1,087;V;
3404;ohleduplnost;28;5,267;5,154;1,087;N;
3405;islám;31;2,931;4,838;1,086;N;
3406;valný;38;1,686;4,248;1,086;A;
3407;odrůda;37;1,789;4,323;1,086;N;
3408;2002;48;1,069;3,627;1,086;C;
3409;přestupek;40;1,512;4,107;1,086;N;
3410;rybníček;29;3,96;5,039;1,086;N;
3411;přiměřený;33;2,391;4,649;1,086;A;
3412;smlouva;120;0,227;1,593;1,085;N;
3413;vedoucí;107;0,279;1,819;1,085;N;
3414;úzkostlivě;28;5,177;5,145;1,085;;
3415;charakter;42;1,365;3,965;1,084;N;
3416;vídeňský;33;2,381;4,642;1,084;A;
3417;republikán;31;2,908;4,826;1,083;N;
3418;dílo;94;0,347;2,071;1,083;N;
3419;sbírat;41;1,43;4,026;1,083;V;
3420;ČNB;34;2,187;4,55;1,083;B;
3421;detektiv;32;2,595;4,721;1,081;N;
3422;stanovený;38;1,669;4,225;1,081;A;
3423;Donald;31;2,887;4,815;1,081;N;
3424;každodenní;36;1,881;4,372;1,08;A;
3425;upozornit;67;0,599;2,78;1,079;V;
3426;hračka;39;1,57;4,141;1,078;N;
3427;vyděšený;29;3,831;5,007;1,078;A;
3428;vyděrač;28;4,913;5,116;1,078;N;
3429;kolo;220;0,036;0,368;1,077;N;
3430;novodobý;32;2,568;4,703;1,077;A;
3431;Slavie;78;0,462;2,421;1,076;N;
3432;leccos;31;2,847;4,794;1,076;P;
3433;poblíž;40;1,478;4,054;1,075;R;
3434;bojovník;35;1,994;4,431;1,075;N;
3435;veřejně;39;1,557;4,123;1,075;D;
3436;desatero;28;4,768;5,097;1,073;C;
3437;rozhodnutí;94;0,332;1,991;1,073;N;
3438;duchovní;38;1,638;4,183;1,072;A;
3439;souhlasit;62;0,667;2,915;1,071;V;
3440;signál;41;1,39;3,96;1,07;N;
3441;Roman;64;0,629;2,828;1,069;N;
3442;opatření;68;0,568;2,682;1,069;N;
3443;zvaný;39;1,537;4,093;1,068;A;
3444;ztřeštěně;27;10,535;5,193;1,068;;
3445;oportunisticky;27;10,463;5,192;1,068;D;
3446;podlézavě;27;10,374;5,192;1,068;D;
3447;problémově;27;10,286;5,192;1,068;;
3448;firemní;35;1,962;4,397;1,068;A;
3449;nynější;41;1,384;3,95;1,067;A;
3450;doteď;29;3,675;4,964;1,067;D;
3451;Jarda;31;2,78;4,757;1,067;N;
3452;opozičně;27;9,175;5,187;1,067;D;
3453;udržovat;42;1,317;3,88;1,067;V;
3454;Japonsko;40;1,452;4,013;1,067;N;
3455;technologie;65;0,608;2,774;1,067;N;
3456;dluh;53;0,859;3,268;1,066;N;
3457;hrdý;33;2,281;4,562;1,066;A;
